A000001,추격자,The Chaser,범죄, 나홍진 ,2008
A000002,쿵푸팬더,Kung Fu Panda,애니메이션, 여인영 ,2008
A000003,"좋은 놈, 나쁜 놈, 이상한 놈","The Good, the Bad, and the Weird",액션, 김지운 ,2008
A000004,아이언맨,Iron Man,SF, 존 파브로 ,2008
A000005,강철중,Public Enemy Returns,범죄, 강우석 ,2008
A000006,우리 생애 최고의 순간,Forever the Moment,드라마, 임순례 ,2008
A000007,원티드,Wanted,액션, 티무르 ,2008
A000008,핸콕,Hancock,액션, 피터 버그 ,2008
A000009,테이큰,Taken,스릴러,피에르 모렐,2008
